Datetime,Tweet Id,Text,Username
2022-12-31 12:54:36+00:00,1609171162935738373,There has probably never been a more important time to read Sun Tzu s  The Art of War       ,neurominimal
2022-12-31 12:50:02+00:00,1609170012421644288, sthsthburner  11Marcc i was unbelievably disappointed when I found out what the art of war was tbf,mozarros1
2022-12-31 12:47:23+00:00,1609169346189836288,The Art of War by Sun Tzu   Classic Collector s Edition  Includes The Classic Giles and Full Length Translations CTOCWED      Css0t9NLsz     G8r20Ml1x1,rhett83gopz
2022-12-31 12:45:46+00:00,1609168938117795840, sthsthburner you haven t read the art of war  ,mozarros1
2022-12-31 12:43:27+00:00,1609168353687470080,El Arte De La Guerra  The Art of War  OJP2VHD      dPJH5WlPsH     uLBR9HKCAs,mosciski52ejffd
2022-12-31 12:38:47+00:00,1609167182960672770,i wasn t sure how the art of war became a doctor and was so cute i m gonna throw up and have to keep you docile and ignorant ,kohlmannbean
2022-12-31 12:32:52+00:00,1609165690690494465,Colorful Illustration of Sun Tzu s The Art of War   Chapters V VI XMKHJL7      BJp0cq5Att     fvybljUmOq,schinner26iiju
2022-12-31 12:17:41+00:00,1609161871218835457,Sun Tzu said   the supreme art of war is to subdue the enemy without fighting   People forget that about him ,Doctor_Hue
2022-12-31 11:49:28+00:00,1609154770689835010,Art of War  The Definitive Interpretation of Sun Tzu s Classic Book of Strategy 51S9MTO      bg62sNGiKN     T8dBHAb6Qa,hahn38uhj
2022-12-31 11:44:38+00:00,1609153554308272129, DoreenNyanjura  Obed the Great Tanga Odoi is reading from the Prince by Niccolo Machiavelli and the Art of War by Tsun zu  So what do you expect from him ,lasto_nsubuga
2022-12-31 11:40:50+00:00,1609152598308798465,The Art of War  Deluxe Hardbound Edition  KBJS2IH      XUMeiO5g3u     FneMULOOo7,denesik2jkt
2022-12-31 11:18:27+00:00,1609146966109458432,The Art of War  A New Translation by Michael Nylan LIJQCJF      WElYPeukOP     sGi4PyXo4G,spencergewi
2022-12-31 11:14:43+00:00,1609146026081796096,May re read the Art of War next year  I love that book ,KaiserSkisoIX
2022-12-31 11:06:30+00:00,1609143956042059776,Source  The Art of War  6th century BC,EnoshCollins
2022-12-31 10:59:41+00:00,1609142242073055239, Adam L Sanusi The English used in  The art of war  makes people shy away  But you have a point prscticalising 48 laws is suicide,bzayyad
2022-12-31 10:59:37+00:00,1609142226650636288, Lei yulin  KaiserSkisoIX  EndWokeness The book is called  The art of War       kLjBfio22e,rnoonrivers
2022-12-31 10:47:53+00:00,1609139273663406080, TDF UA The art of war is improvisation ,TheAberdareBoyo
2022-12-31 10:44:20+00:00,1609138380721500163, A losuntry wars with weapons  a dictatorship wars with cunning  a kingdom wars with humanitarian justice  an empire wars with virtue  a utopia wars with nondoing    The art of war,nduchela
2022-12-31 10:39:10+00:00,1609137078566113281, marklevinshow I believe Trump used those returns as a trap   Once again using the strategies of Sun Tzu s Art of War   Now the Democrats look foolish  once again  and looking into their taxes are justified   When weak  look strong  When strong  look weak      UlSCVCxzil,ShawnClement16
2022-12-31 10:33:24+00:00,1609135627332624384,3 3   The Art of War by Sun Tzu  NO  Against Adult Supremacy by multiple people  In Praise of Love by Alain Badiou  Fear and Trembling by Soren Kierkegaard     E4dUJN45HF,InAgainstBeyond
2022-12-31 10:30:36+00:00,1609134921796263936, NamdiAzikiwe Amina amina  Napenda kuwekeza kwenye watu  Watu ni mtaji muhimu sana  Shukrani kwa uwepo wako ndugu yangu  Na pia shukrani kwa uwepo  Vitabu247 alini save sana kwenye hiko kitabu cha THE ART OF WAR  nilikitesekea mda mrefu sema kweli ,Anthonymassawe1
2022-12-31 10:27:56+00:00,1609134250950889472, NamdiAzikiwe  Vitabu247 Ni mteja wake makini sana  Mwezi jana alinipa The art of war ndio namalizana nacho hapa ningie Next year anape vingine,Anthonymassawe1
2022-12-31 10:23:51+00:00,1609133223300444161,Use the conquered foe to augment one s own strength   Start reading  lt The Art of War gt  with your KINDLE      5KvOCDDkEj,kfffp
